




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7709866 Released 2023-03-06
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27430)	upload_1 (594)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cellular response to radiation (GO:0071478)	186	28	4.03	+	6.95	1.71E-14	1.24E-11
regulation of response to red or far red light (GO:2000030)	51	7	1.10	+	6.34	2.19E-04	1.76E-02
pigment biosynthetic process (GO:0046148)	185	24	4.01	+	5.99	2.18E-11	7.44E-09
toxin metabolic process (GO:0009404)	66	8	1.43	+	5.60	1.71E-04	1.53E-02
glutathione metabolic process (GO:0006749)	59	7	1.28	+	5.48	4.90E-04	3.55E-02
response to red or far red light (GO:0009639)	414	49	8.97	+	5.47	2.09E-20	3.04E-17
organic hydroxy compound biosynthetic process (GO:1901617)	194	22	4.20	+	5.24	1.50E-09	4.13E-07
cellular response to environmental stimulus (GO:0104004)	269	29	5.83	+	4.98	1.14E-11	4.39E-09
cellular response to abiotic stimulus (GO:0071214)	269	29	5.83	+	4.98	1.14E-11	4.12E-09
pigment metabolic process (GO:0042440)	365	38	7.90	+	4.81	1.88E-14	1.21E-11
terpenoid metabolic process (GO:0006721)	251	23	5.44	+	4.23	2.59E-08	6.01E-06
isoprenoid metabolic process (GO:0006720)	310	27	6.71	+	4.02	4.38E-09	1.15E-06
terpenoid biosynthetic process (GO:0016114)	161	14	3.49	+	4.02	2.37E-05	2.69E-03
isoprenoid biosynthetic process (GO:0008299)	199	17	4.31	+	3.94	4.08E-06	6.38E-04
circadian rhythm (GO:0007623)	130	11	2.82	+	3.91	2.17E-04	1.80E-02
rhythmic process (GO:0048511)	130	11	2.82	+	3.91	2.17E-04	1.77E-02
response to toxic substance (GO:0009636)	180	15	3.90	+	3.85	1.95E-05	2.31E-03
detoxification (GO:0098754)	158	13	3.42	+	3.80	7.78E-05	7.39E-03
organic hydroxy compound metabolic process (GO:1901615)	377	29	8.16	+	3.55	1.55E-08	3.75E-06
chloroplast organization (GO:0009658)	226	17	4.89	+	3.47	1.92E-05	2.32E-03
cellular response to hypoxia (GO:0071456)	239	17	5.18	+	3.28	3.73E-05	4.08E-03
cellular response to decreased oxygen levels (GO:0036294)	241	17	5.22	+	3.26	4.11E-05	4.41E-03
cellular response to oxygen levels (GO:0071453)	242	17	5.24	+	3.24	4.31E-05	4.46E-03
plastid organization (GO:0009657)	306	21	6.63	+	3.17	7.88E-06	1.17E-03
response to light intensity (GO:0009642)	393	24	8.51	+	2.82	1.16E-05	1.56E-03
response to hypoxia (GO:0001666)	344	20	7.45	+	2.68	1.15E-04	1.07E-02
response to light stimulus (GO:0009416)	2237	127	48.44	+	2.62	7.15E-23	4.15E-19
response to decreased oxygen levels (GO:0036293)	354	20	7.67	+	2.61	1.64E-04	1.49E-02
response to oxygen levels (GO:0070482)	356	20	7.71	+	2.59	1.76E-04	1.55E-02
response to radiation (GO:0009314)	2356	129	51.02	+	2.53	5.63E-22	1.63E-18
secondary metabolic process (GO:0019748)	787	38	17.04	+	2.23	1.08E-05	1.49E-03
small molecule biosynthetic process (GO:0044283)	961	42	20.81	+	2.02	2.92E-05	3.26E-03
lipid biosynthetic process (GO:0008610)	837	35	18.13	+	1.93	4.37E-04	3.25E-02
response to abiotic stimulus (GO:0009628)	4779	180	103.49	+	1.74	3.25E-14	1.88E-11
lipid metabolic process (GO:0006629)	1472	55	31.88	+	1.73	1.55E-04	1.43E-02
response to stimulus (GO:0050896)	9805	297	212.33	+	1.40	2.54E-12	1.23E-09
response to chemical (GO:0042221)	5354	160	115.94	+	1.38	1.41E-05	1.86E-03
organic substance biosynthetic process (GO:1901576)	4530	134	98.10	+	1.37	1.82E-04	1.55E-02
biosynthetic process (GO:0009058)	4893	141	105.96	+	1.33	3.51E-04	2.68E-02
response to stress (GO:0006950)	5761	161	124.76	+	1.29	4.47E-04	3.28E-02
nitrogen compound metabolic process (GO:0006807)	9027	144	195.48	-	.74	6.16E-06	9.39E-04
macromolecule metabolic process (GO:0043170)	8524	126	184.59	-	.68	1.34E-07	2.76E-05
cellular nitrogen compound metabolic process (GO:0034641)	4731	64	102.45	-	.62	1.62E-05	2.09E-03
macromolecule modification (GO:0043412)	3888	48	84.20	-	.57	9.03E-06	1.28E-03
nucleic acid metabolic process (GO:0090304)	3333	37	72.18	-	.51	2.83E-06	4.83E-04
nucleobase-containing compound metabolic process (GO:0006139)	3717	40	80.49	-	.50	2.62E-07	5.05E-05
RNA metabolic process (GO:0016070)	2883	31	62.43	-	.50	8.75E-06	1.27E-03
